Object Name,length,height,width,materialNumber,Amount per bin box (LHM C),Stabilität
PAPERBOX 0421 GD2 32X15X95,32,95,15,1041201,,keine
PAPERBOX A2320 GZ1 HÜLLE DS,35000,75000,10000,153913,1033,keine
PAPERBOX 1E 0215 106X41X78 BL,106,78,41,140125,77,1E
PAPERBOX 1E 0215 106X41X78 P,106,78,41,9051692,77,1E
PAPERBOX 1E 0426 103X50X25 P,103,25,50,9501429,180,1E
PAPERBIN 1E 0426 50X103X25 P,50,25,103,56561,180,1E
PAPERBOX A2420 600BB 56X29X44 BL,56,44,29,159344,264,keine
EPE BOX 60X25X35,60,35,25,194224,,keine
PAPERBOX 0426 1E 66X82X95 BL,66,95,82,1018133,56,1E
PAPERBOX 0713 1E 66X66X115 S,66,115,66,1026011,20,1E
PAPERBOX 0713 1E 66X66X115 BL,66,115,66,1026168,40,1E
PAPERBOX A2220 GD2 65X18X91 BL,65,91,18,9501283,246,keine
PAPERBOX A2120 GD2 65X36X91 BL,65,91,36,9501005,129,keine
PAPERBOX 0420 1E 68X77X61,68,61,77,1039574,,1E
PAPERBOX 70X55X72 FOR FUSEADAPTER,70,72,55,1296482,,keine
FALTSCH.WERMA PSD-S 70X70X75,70,75,70,9051585,56,keine
PAPERBOX 1E 0426 73X103X41 P,73,41,103,9501403,83,1E
PAPERBOX 0421 1E 103X73X41 P,103,41,73,56560,80,1E
PAPERBIN 1E 0713 73X109X86 P,73,86,109,56557,42,1E
"PAPERBOX 0713 GD2 74X47,5X32",74000,32000,47500,1041198,,keine
PAPERBOX 0421 1E 110X73X40 P,110,40,73,1034079,84,1E
PAPERBOX A2420 75X86X20 EATON1,75,20,86,9049663,228,keine
PAPERBOX 1E 0421 75X55X28 BL,75,28,55,9009079,222,1E
PAPERBOX 1E 0713 106X76X78 P,106,78,76,9051690,42,1E
PAPERBOX A6020 GD2 78X50X122 P,78,122,50,123761,48,keine
PAPERBOX A6020 GD2 78X50X122BL,78,122,50,143339,62,keine
PAPERBOX A6020 GC2 78X50X122 P,78,122,50,168586,62,keine
PAPERBOX 0713 1E 80X82X72 BL,80,72,82,,56,1E
PAPERBOX 0713 1E 81X81X115 S,81,115,81,1026013,34,1E
FALTSCH. TMB-QT 88X49X42,88,42,49,54910,164,keine
PAPERBOX 0713 1E 65X83X93 BL,65,93,83,9501827,52,1E
PAPERBOX 0427 84X72X26 S,84,26,72,1037109,98,keine
PAPERBOX 1E 0713 85X96X60 P,85,60,96,9631810,54,1E
PAPERBIN 1E 0713 85X96X60 P,85,60,96,56556,40,1E
PAPERBIN 1E 0713 85X135X60 P,85,60,135,56567,32,1E
FALTSCHACHTEL 85X96X60MM,85,60,96,140056,,keine
PAPERBOX 1E 0713 85X96X90 P,85,90,96,9631807,30,1E
PAPERBOX 1E 0426 86X103X32 P,86,32,103,9501416,93,1E
PAPERBIN 1E 0426 86X103X32 P,86,32,103,56558,80,1E
PAPERBOX 1E 0426 86X103X41 P,86,41,103,9501393,78,1E
