Material;WertBB;EinheitWert;MengeBB;EinheitMengeBB;MengeKB;EinheitMengeKB
Summe;478.800,48;EUR;2.281.347;ST;0;ST
10437;0,00;EUR;0;ST;0;ST
32525;0,00;EUR;0;ST;0;ST
42991;0,00;EUR;0;ST;0;ST
44478;0,00;EUR;0;ST;0;ST
46003;0,00;EUR;0;ST;0;ST
48355;0,00;EUR;0;ST;0;ST
52266;997,80;EUR;4.438;ST;0;ST
54909;0,00;EUR;0;ST;0;ST
54910;0,00;EUR;0;ST;0;ST
56555;9.173,13;EUR;123.008;ST;0;ST
56556;5.917,89;EUR;84.828;ST;0;ST
56557;5.928,64;EUR;77.402;ST;0;ST
56558;2.585,55;EUR;70.184;ST;0;ST
56560;883,31;EUR;22.248;ST;0;ST
56561;1.263,48;EUR;37.294;ST;0;ST
56562;6.304,07;EUR;58.102;ST;0;ST
56563;1.853,70;EUR;24.511;ST;0;ST
56564;4.350,18;EUR;45.317;ST;0;ST
56565;6.466,94;EUR;76.637;ST;0;ST
56566;6.130,27;EUR;51.911;ST;0;ST
56567;104,29;EUR;1.136;ST;0;ST
56568;1.743,11;EUR;20.457;ST;0;ST
56569;6.178,51;EUR;54.489;ST;0;ST
56570;1.625,38;EUR;16.905;ST;0;ST
56571;1.906,39;EUR;14.354;ST;0;ST
56572;828,50;EUR;4.447;ST;0;ST
56573;916,25;EUR;5.251;ST;0;ST
56574;1.103,90;EUR;5.899;ST;0;ST
56576;1.225,19;EUR;3.472;ST;0;ST
56577;844,38;EUR;8.238;ST;0;ST
56578;1.732,69;EUR;9.928;ST;0;ST
56579;2.188,68;EUR;10.656;ST;0;ST
56580;27,75;EUR;150;ST;0;ST
56581;113,83;EUR;1.080;ST;0;ST
56582;514,12;EUR;15.901;ST;0;ST
56583;677,44;EUR;12.777;ST;0;ST
56584;0,00;EUR;0;ST;0;ST
56585;0,00;EUR;0;ST;0;ST
56586;1.028,19;EUR;19.305;ST;0;ST
56587;234,04;EUR;4.094;ST;0;ST
56589;363,72;EUR;7.353;ST;0;ST
56590;247,43;EUR;2.506;ST;0;ST
56592;0,00;EUR;0;ST;0;ST
56594;216,64;EUR;3.190;ST;0;ST
58041;516,62;EUR;1.065;ST;0;ST
58042;0,00;EUR;0;ST;0;ST
59785;5.527,55;EUR;25.796;ST;0;ST
60005;0,00;EUR;0;ST;0;ST
61500;15,04;EUR;443;ST;0;ST
61502;0,00;EUR;0;ST;0;ST
61503;2,84;EUR;26;ST;0;ST
61526;0,00;EUR;0;ST;0;ST
61529;0,00;EUR;0;ST;0;ST
61537;0,00;EUR;0;ST;0;ST
61538;0,00;EUR;0;ST;0;ST
61540;0,00;EUR;0;ST;0;ST
61541;0,00;EUR;0;ST;0;ST
61577;0,00;EUR;0;ST;0;ST
61578;0,00;EUR;0;ST;0;ST
61580;0,00;EUR;0;ST;0;ST
61581;0,00;EUR;0;ST;0;ST
61582;0,00;EUR;0;ST;0;ST
61583;0,00;EUR;0;ST;0;ST
61584;7,08;EUR;62;ST;0;ST
61586;0,00;EUR;0;ST;0;ST
61587;193,21;EUR;1.145;ST;0;ST
61588;0,00;EUR;0;ST;0;ST
61589;0,00;EUR;0;ST;0;ST
61591;0,00;EUR;0;ST;0;ST
62221;0,00;EUR;0;ST;0;ST
62222;0,00;EUR;0;ST;0;ST
62224;0,00;EUR;0;ST;0;ST
62225;0,00;EUR;0;ST;0;ST
62227;0,00;EUR;0;ST;0;ST
62230;0,00;EUR;0;ST;0;ST
62231;0,00;EUR;0;ST;0;ST
62234;0,00;EUR;0;ST;0;ST
65077;0,00;EUR;0;ST;0;ST
65078;0,00;EUR;0;ST;0;ST
69088;0,00;EUR;0;ST;0;ST
77159;0,00;EUR;0;ST;0;ST
78005;0,00;EUR;0;ST;0;ST
78006;0,00;EUR;0;ST;0;ST
78007;0,00;EUR;0;ST;0;ST
78008;0,00;EUR;0;ST;0;ST
78009;0,00;EUR;0;ST;0;ST
78502;112,23;EUR;258;ST;0;ST
78503;0,00;EUR;0;ST;0;ST
78504;0,00;EUR;0;ST;0;ST
78505;0,00;EUR;0;ST;0;ST
79348;0,00;EUR;0;ST;0;ST
79353;79,74;EUR;1.646;ST;0;ST
79807;3.624,88;EUR;11.060;ST;0;ST
89740;429,35;EUR;320;ST;0;ST
91836;167,77;EUR;1.592;ST;0;ST
92003;0,00;EUR;0;ST;0;ST
92790;0,00;EUR;0;ST;0;ST
94920;253,74;EUR;833;ST;0;ST
94921;607,00;EUR;1.708;ST;0;ST
108241;0,00;EUR;0;ST;0;ST
108242;0,00;EUR;0;ST;0;ST
109619;99,04;EUR;619;ST;0;ST
116290;0,00;EUR;0;ST;0;ST
116291;0,00;EUR;0;ST;0;ST
116292;0,00;EUR;0;ST;0;ST
116510;0,00;EUR;0;ST;0;ST
116600;0,00;EUR;0;ST;0;ST
116601;17,16;EUR;116;ST;0;ST
